feature,importance
Mental_Health_Score,0.8324643734414591
Conflicts_Over_Social_Media,0.10793506786370799
Country_USA,0.010702101798837434
Most_Used_Platform_LINE,0.006274546654801531
Country_India,0.005409321421720004
Country_Maldives,0.0042947311898488974
Sleep_Hours_Per_Night,0.004152627704817265
Country_South Korea,0.004086338657157011
Affects_Academic_Performance_Yes,0.004027621932657286
Affects_Academic_Performance_No,0.003930607640385572
Most_Used_Platform_KakaoTalk,0.0029821552951763137
Avg_Daily_Usage_Hours,0.002435159874729097
Country_Italy,0.0018388259998307818
Academic_Level_High School,0.0017827338049962653
Country_Germany,0.00065574468580313
Relationship_Status_Single,0.0005674267774154465
Country_Romania,0.0005540495894494773
Relationship_Status_In Relationship,0.0005496102837161165
Country_Slovakia,0.0005261248790070171
Relationship_Status_Complicated,0.00043428802192601766
Most_Used_Platform_Instagram,0.00043353862942043653
Age,0.0004196422921486833
Most_Used_Platform_TikTok,0.0003503335850288989
Country_Australia,0.00034041968091365815
Country_Norway,0.0002832248378275456
Most_Used_Platform_YouTube,0.0002666661872069103
Country_UK,0.00021468652802841804
Country_Kenya,0.0002033989971757477
Country_Spain,0.0001896240206001478
Country_Liechtenstein,0.00016551999130321048
Country_Bangladesh,0.0001473552899504205
Country_Armenia,0.00011395300057190919
Country_Thailand,0.00010421623870838142
Country_Ireland,9.574559822064115e-05
Gender_Male,8.42225387984161e-05
Academic_Level_Undergraduate,8.082165402795205e-05
Most_Used_Platform_Facebook,7.358414990040172e-05
Country_New Zealand,7.24370132412618e-05
Most_Used_Platform_Snapchat,6.727118903181437e-05
Academic_Level_Graduate,6.596584817562939e-05
Country_Mexico,6.411378669898108e-05
Country_Lebanon,6.160335558343557e-05
Country_Japan,5.763050901831969e-05
Gender_Female,5.5490198695614194e-05
Country_Malaysia,5.207513408057268e-05
Country_Cyprus,4.221259664513859e-05
Country_UAE,3.848624732495308e-05
Country_Nepal,3.76870956727864e-05
Country_Canada,3.416755185387091e-05
Country_Uruguay,2.7464228597814292e-05
Country_South Africa,2.7329409798978814e-05
Country_Sweden,2.4993270100292128e-05
Country_Pakistan,2.312621762705323e-05
Country_North Macedonia,2.0924636064952433e-05
Country_Brazil,1.3470831720530148e-05
Most_Used_Platform_LinkedIn,1.0800178205566316e-05
Country_Israel,7.077881628670821e-06
Country_Syria,5.264354582747966e-06
Country_Denmark,5.198657394691346e-06
Country_Afghanistan,4.907275452141063e-06
Country_Serbia,4.208825441292775e-06
Country_Netherlands,2.201962088771861e-06
Most_Used_Platform_Twitter,2.1563371173099737e-06
Country_Switzerland,1.3246708834834448e-06
Country_Bhutan,0.0
Country_Bolivia,0.0
Country_Azerbaijan,0.0
Country_Bahamas,0.0
Country_Bahrain,0.0
Country_Austria,0.0
Country_Andorra,0.0
Country_Belgium,0.0
Country_Belarus,0.0
Country_Moldova,0.0
Country_Malta,0.0
Country_Lithuania,0.0
Country_Luxembourg,0.0
Country_Kosovo,0.0
Country_Kuwait,0.0
Country_Kyrgyzstan,0.0
Country_Latvia,0.0
Country_Jordan,0.0
Country_Kazakhstan,0.0
Country_Hong Kong,0.0
Country_Greece,0.0
Country_Ghana,0.0
Country_Indonesia,0.0
Country_Iraq,0.0
Country_Jamaica,0.0
Country_France,0.0
Country_Georgia,0.0
Country_Hungary,0.0
Country_Iceland,0.0
Country_Chile,0.0
Country_China,0.0
Country_Bosnia,0.0
Country_Bulgaria,0.0
Country_Costa Rica,0.0
Country_Colombia,0.0
Country_Croatia,0.0
Country_Czech Republic,0.0
Country_Ecuador,0.0
Country_Egypt,0.0
Country_Estonia,0.0
Country_Finland,0.0
Country_Albania,0.0
Country_Argentina,0.0
Country_Sri Lanka,0.0
Country_Portugal,0.0
Country_Russia,0.0
Country_Qatar,0.0
Country_Singapore,0.0
Country_Montenegro,0.0
Country_Nigeria,0.0
Country_Monaco,0.0
Country_Oman,0.0
Country_Panama,0.0
Country_Paraguay,0.0
Country_Peru,0.0
Country_Philippines,0.0
Country_Poland,0.0
Country_Morocco,0.0
Country_Slovenia,0.0
Country_San Marino,0.0
Country_Vietnam,0.0
Country_Yemen,0.0
Country_Uzbekistan,0.0
Country_Taiwan,0.0
Country_Turkey,0.0
Country_Tajikistan,0.0
Country_Trinidad,0.0
Country_Venezuela,0.0
Country_Vatican City,0.0
Country_Ukraine,0.0
Most_Used_Platform_VKontakte,0.0
Most_Used_Platform_WeChat,0.0
Most_Used_Platform_WhatsApp,0.0
