feature,importance
Mental_Health_Score,0.5709808172336853
Affects_Academic_Performance_Yes,0.13415971928377676
Conflicts_Over_Social_Media,0.12258345193025184
Affects_Academic_Performance_No,0.10107052821168101
Avg_Daily_Usage_Hours,0.013944535787842263
Sleep_Hours_Per_Night,0.011223349228983161
Country_USA,0.009739136232095992
Country_India,0.0056261945663764424
Most_Used_Platform_LINE,0.005148107786238322
Country_Maldives,0.0038568810407914977
Country_South Korea,0.0038539141315312823
Most_Used_Platform_KakaoTalk,0.0033208238610778315
Country_Japan,0.001553464704504485
Academic_Level_High School,0.0013142937843644677
Country_Italy,0.0010362603072429381
Most_Used_Platform_Instagram,0.0009995388588126225
Country_Germany,0.0007321045727037944
Age,0.0007070329515375496
Most_Used_Platform_TikTok,0.0007010215845908171
Relationship_Status_Complicated,0.0005399807117611521
Relationship_Status_In Relationship,0.0005302475609706354
Country_Slovakia,0.0004952796536238504
Relationship_Status_Single,0.0004249690436716068
Country_Bangladesh,0.00040640803973654763
Country_Ireland,0.0003838486903306644
Country_Romania,0.00030484493735028715
Country_Spain,0.0003025696636539601
Country_Kenya,0.0003023980906900899
Most_Used_Platform_WhatsApp,0.0002832268108291496
Country_Mexico,0.0002687283532687671
Country_Australia,0.0002561199191939068
Academic_Level_Graduate,0.00024243431811188005
Gender_Male,0.00022375860177740756
Most_Used_Platform_YouTube,0.0002160790450660876
Country_UK,0.0002060444623066165
Country_Norway,0.00019851995342728745
Country_Nepal,0.00017220795676718866
Academic_Level_Undergraduate,0.0001652328225576259
Most_Used_Platform_Facebook,0.00016482721502365365
Gender_Female,0.00016196931100478248
Country_Thailand,0.00014032222343859718
Most_Used_Platform_Twitter,0.00011762783238295213
Country_New Zealand,0.00010281826686620842
Country_France,0.00010118304499629916
Country_Russia,8.52654985519196e-05
Country_Denmark,5.819869888905252e-05
Country_North Macedonia,5.604245327571633e-05
Country_Canada,4.695492327365555e-05
Country_UAE,4.529326151074459e-05
Most_Used_Platform_Snapchat,4.3553852801404324e-05
Country_Liechtenstein,4.076399552383523e-05
Country_South Africa,4.0674702285805265e-05
Country_Pakistan,3.828782701939463e-05
Country_Lebanon,3.4587104897768056e-05
Country_Brazil,3.061261296889173e-05
Country_Cyprus,2.9965003653192967e-05
Country_Uruguay,2.452408411257353e-05
Most_Used_Platform_LinkedIn,2.4040289228020552e-05
Country_Afghanistan,1.9163132804272194e-05
Country_Switzerland,1.889968589480818e-05
Country_Armenia,1.656301612705409e-05
Country_Netherlands,1.6403331748889222e-05
Country_Israel,1.063346070888833e-05
Country_Bosnia,9.625759271099656e-06
Country_Malaysia,8.780221445078775e-06
Country_Syria,7.630175031969366e-06
Country_Sri Lanka,6.1041400255756414e-06
Country_Turkey,5.830557346416097e-06
Country_China,4.108555786444924e-06
Most_Used_Platform_VKontakte,3.5216192455242915e-06
Country_Sweden,3.27299146856231e-06
Country_Indonesia,3.169457320972183e-06
Country_Moldova,2.946191264229214e-06
Country_Ghana,1.7608096227621457e-06
Country_Malta,0.0
Country_Lithuania,0.0
Country_Jordan,0.0
Country_Kosovo,0.0
Country_Luxembourg,0.0
Country_Kyrgyzstan,0.0
Country_Latvia,0.0
Country_Kazakhstan,0.0
Country_Iceland,0.0
Country_Hong Kong,0.0
Country_Greece,0.0
Country_Georgia,0.0
Country_Hungary,0.0
Country_Iraq,0.0
Country_Jamaica,0.0
Country_Bolivia,0.0
Country_Bhutan,0.0
Country_Belgium,0.0
Country_Belarus,0.0
Country_Bahrain,0.0
Country_Bahamas,0.0
Country_Bulgaria,0.0
Country_Chile,0.0
Country_Costa Rica,0.0
Country_Colombia,0.0
Country_Croatia,0.0
Country_Czech Republic,0.0
Country_Ecuador,0.0
Country_Egypt,0.0
Country_Estonia,0.0
Country_Finland,0.0
Country_Albania,0.0
Country_Argentina,0.0
Country_Andorra,0.0
Country_Austria,0.0
Country_Azerbaijan,0.0
Country_Kuwait,0.0
Country_Morocco,0.0
Country_Montenegro,0.0
Country_Nigeria,0.0
Country_Monaco,0.0
Country_Oman,0.0
Country_Panama,0.0
Country_Paraguay,0.0
Country_Peru,0.0
Country_Philippines,0.0
Country_Poland,0.0
Country_Slovenia,0.0
Country_San Marino,0.0
Country_Serbia,0.0
Country_Qatar,0.0
Country_Portugal,0.0
Country_Singapore,0.0
Country_Yemen,0.0
Country_Tajikistan,0.0
Country_Trinidad,0.0
Country_Vietnam,0.0
Country_Venezuela,0.0
Country_Vatican City,0.0
Country_Ukraine,0.0
Country_Uzbekistan,0.0
Country_Taiwan,0.0
Most_Used_Platform_WeChat,0.0
